COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,SDELMA_2,SDSECA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
1,11500,3,1115003,4140,4140,48,48,704,704,0,0,0,0,0,0,0,0,14,37,0,12,29,57,555,704,317,24429400,20.51663655,13.46103305,33.9776696,25,0,0,0,0,0,0,0,0,0,0
1,11500,4,1115004,4140,4140,48,48,457,444,0,13,0,0,0,0,0,0,0,0,0,0,42,0,415,457,253,15462200,33.8524503,23.41049227,57.26294257,21.875,0,0,0,0,0,0,0,0,0,0
1,11500,5,1115005,4140,4140,48,48,635,601,0,34,0,0,0,0,0,0,0,29,9,0,71,0,515,624,352,20055700,34.87828213,18.14313151,53.02141364,21.25,0,0,0,0,0,0,0,0,0,0
1,11600,1,1116001,4140,4140,48,48,1661,1513,8,0,10,0,0,130,81,49,174,206,0,267,110,23,881,1661,660,39480100,64.62740512,37.45678763,102.0841928,46.875,0,0,0,0,0,0,0,0,0,0
1,11600,2,1116002,4140,4140,48,48,707,707,0,0,0,0,0,0,0,0,136,19,82,0,17,17,436,707,345,15847800,25.64579568,16.97260689,42.61840258,20,0,0,0,0,0,0,0,0,0,0
1,11600,3,1116003,4140,4140,48,48,708,688,0,0,20,0,0,0,0,0,10,19,27,37,0,0,607,700,372,26287700,13.33581376,11.70524613,25.04105989,11.25,0,0,0,0,0,0,0,0,0,0
1,11700,1,1117001,4140,4140,48,48,636,594,0,0,0,0,0,42,0,42,8,32,30,0,111,23,432,636,326,22649700,13.33581376,12.29050844,25.6263222,16.875,0,0,0,0,0,0,0,0,0,0
1,11700,2,1117002,4140,4140,48,48,420,381,0,0,39,0,0,0,0,0,48,0,16,9,0,0,347,420,262,14743600,11.2841501,5.26736076,16.55151086,10.625,0,0,0,0,0,0,0,0,0,0
1,11700,3,1117003,4140,4140,48,48,691,676,0,0,0,0,0,15,0,15,45,148,23,15,0,65,395,691,379,15474700,21.54246837,14.63155767,36.17402604,31.25,276,0,276,0,276,1,1,0,1,0
1,11801,1,1118011,4140,4140,48,48,1321,1250,0,0,11,0,0,60,0,60,13,0,78,0,12,0,1218,1321,802,66019200,19.49080472,23.41049227,42.90129699,24.375,0,0,0,0,0,0,0,0,0,0
